ID,CLASS,COREPREPARPROD,PIECECOMPLETENESS,CORTEX,CORTEXLOCATION,PLATFORMTYPE,PLATFORMCORTEX,SCARCOUNT,THICKNESS,MAXWIDTH,LENGTH,COREPLATFORM,MAINFACECORTEX,MAINFACESCARCOUNT,COREABANDON,RETOUCHEDPIECETYPOLOGY
H18-3438,Shatter,,,0%,,,,,,,,,,,,
H18-3444,Shatter,,,0%,,,,,,,,,,,,
H18-3474,FlakeFrag,,Proximal,0%,,Plain,No,3,6.37,25.52,,,,,,
H18-3490,Core,,,1-30%,,,,,16.9,30.9,25.5,Crushed,1-30%,7,AngleLoss,
H18-3492,Flake,,,1-30%,ProxLeftLat,Cortical,YesComplete,5,10.7,37.7,31.25,,,,,
H18-3499,Shatter,,,0%,,,,,,,,,,,,
H21-4551,ElongBlankFrag,,Distal,0%,,,,3,3.56,9.31,,,,,,
H18-3501,Shatter,,,31-60%,,,,,,,,,,,,
H18-3512,RetouchedPiece,,,0%,,Plain,No,7,9.2,30,30.5,,,,,Retouched flake
H18-3514,Flake,,,1-30%,DistalRightLat,Crushed,No,5,9.75,17.5,31.64,,,,,
H18-3530,RetouchedPiece,,,1-30%,RightLateral,Plain,No,4,7.31,19.92,25.69,,,,,Splintered piece
H18-3531,RetouchedPiece,,,0%,,Dihedral,YesPartial,7,9.33,18.7,26.45,,,,,Retouched flake
H18-3532,RetouchedPiece,,,31-60%,ProxLeftLat,Plain,YesPartial,3,6.92,25.82,25.38,,,,,Splintered piece
H18-3540,CoreFrag,,,0%,,,,5,11.53,,,,,,,
H18-3548,FlakeFrag,,Mesial,0%,,,,1,2.45,20.41,,,,,,
H18-3550,ElongBlankFrag,,Distal,0%,,,,5,2.5,11.2,,,,,,
H18-3561,FlakeFrag,,Siret,0%,,,,4,6.34,24.81,,,,,,
H18-3566,FlakeFrag,,Proximal,1-30%,LeftLateral,Plain,No,3,5.39,19.21,,,,,,
H18-3576,Shatter,,,31-60%,,,,,,,,,,,,
H18-3581,Flake,,,1-30%,RightLateral,Plain,No,3,5.71,24.11,21,,,,,
H18-3584,ElongBlankFrag,,Distal,0%,,,,2,4.28,7.13,,,,,,
H18-3586,FlakeFrag,,Distal,0%,,,,3,3.56,19.93,,,,,,
H18-3603,FlakeFrag,,Proximal,0%,,Dihedral,No,3,3.5,19.4,,,,,,
H18-3606,Flake,,,0%,,Plain,No,4,4.3,16.1,14.8,,,,,
H18-3607,Shatter,,,0%,,,,,,,,,,,,
H18-3608,ElongBlank,,,1-30%,DistalLeftLat,Plain,No,5,5.7,14.1,39.3,,,,,
H18-3622,Flake,,,1-30%,RightLateral,Winged,No,4,6.8,13.6,23.2,,,,,
H18-3626,RetouchedPiece,,,61-99%,LeftLateral,Crushed,No,1,8.48,22.9,30.06,,,,,Burin
H18-3628,Flake,,,0%,,Cortical,YesComplete,2,1.8,23.8,19.9,,,,,
H18-3630,Shatter,,,31-60%,,,,,,,,,,,,
H18-3637,ElongBlank,,,1-30%,Proximal,Plain,YesComplete,2,1.8,9,19.9,,,,,
H18-3643,FlakeFrag,,Mesial,0%,,,,2,5.9,20.4,,,,,,
H18-3657,Flake,,,0%,,Crushed,No,4,4.73,16.16,21.14,,,,,
H18-3669,RetouchedPiece,,,0%,,Cortical,YesComplete,3,7.1,25.6,25.2,,,,,Retouched flake
H18-3678,BurinSpall,,,1-30%,Proximal,,,4,17.45,,,,,,,
H18-3682,Shatter,,,31-60%,,,,,,,,,,,,
H18-3683,Flake,,,0%,,Winged,No,3,2.53,17.92,15.07,,,,,
H18-3690,RetouchedPiece,,,0%,,Removed,,2,5.97,33.92,33.01,,,,,Burin
H18-3692,Shatter,,,0%,,,,,,,,,,,,
H18-3698,Flake,,,100%,,Winged,YesComplete,0,6.2,29.3,27.5,,,,,
H18-3699,Shatter,,,1-30%,,,,,,,,,,,,
H18-3705,FlakeFrag,,Distal,1-30%,Distal,,,2,5.33,13.59,,,,,,
H18-3712,Core,,,0%,,,,,8.23,22.42,24,Plain,0%,4,AngleLoss,
H18-3717,FlakeFrag,,Distal,0%,,,,3,6.79,18.87,,,,,,
H18-3718,Flake,,,61-99%,Distal,Winged,No,2,3.5,13,22.8,,,,,
H18-3739,Shatter,,,0%,,,,,,,,,,,,
H18-3744,ElongBlank,,,1-30%,Distal,Crushed,No,5,5.21,12.68,35.03,,,,,
H18-3780,ElongBlankFrag,,Mesial,0%,,,,2,2.64,8.83,,,,,,
H18-3784,Shatter,,,0%,,,,,,,,,,,,
H18-3792,RetouchedPiece,,,0%,,Cortical,YesComplete,2,4.08,21.12,27.47,,,,,Notch
H18-3794,RetouchedPiece,,,0%,,Plain,No,5,5.41,12.47,31.35,,,,,Burin
H18-3801,Flake,,,31-60%,Mesial,Plain,No,2,8.4,8.46,23.32,,,,,
H18-3802,FlakeFrag,,Distal,0%,,,,2,2.6,18.77,,,,,,
H18-3809,FlakeFrag,,Distal,0%,,,,3,4.7,18.54,,,,,,
H18-3814,RetouchedPiece,,,0%,,Cortical,YesComplete,3,3.8,8.7,21.1,,,,,Retouched bladelet
H18-3823,FlakeFrag,,Mesial,0%,,,,2,4.05,19.41,,,,,,
H18-3828,Shatter,,,31-60%,,,,,,,,,,,,
H18-3833,FlakeFrag,,Distal,0%,,,,2,2.71,21.66,,,,,,
H18-3839,Core,,,1-30%,,,,,10.51,37.6,21.05,Plain,0%,5,AngleLoss,
H18-3858,RetouchedPiece,,,0%,,Crushed,No,4,7.62,8.47,27.1,,,,,Burin
H18-3872,Flake,,,0%,,Dihedral,No,4,6.4,15.9,23.4,,,,,
H18-3891,Flake,,,0%,,Plain,No,6,9.1,21.6,26.5,,,,,
H18-3905,Flake,,,0%,,Plain,No,2,2.9,21.1,16.7,,,,,
H18-3920,FlakeFrag,,Distal,0%,,,,2,6.3,24.99,,,,,,
H18-3955,Flake,,,0%,,Plain,No,5,7,17.5,26.5,,,,,
H18-3962,ElongBlank,,,1-30%,LeftLateral,Plain,No,3,7.12,12.96,28.41,,,,,
H18-3971,Flake,,,1-30%,RightLateral,Plain,No,5,9.3,31.6,36.6,,,,,
H18-3999,RetouchedPiece,,,1-30%,LeftLateral,Crushed,No,3,10.78,20.56,25.3,,,,,Splintered piece
H18-4002,Core,,,1-30%,,,,,13.7,20.5,20.3,Plain,0%,7,AngleLoss,
H18-4007,RetouchedPiece,,,0%,,Removed,,7,4.94,14.43,23.71,,,,,Burin
H18-4016,Shatter,,,0%,,,,,,,,,,,,
H18-4017,FlakeFrag,,Distal,0%,,,,2,3.74,21.22,,,,,,
H18-4047,FlakeFrag,,Siret,0%,,,,3,6.08,20.13,,,,,,
H18-4070,FlakeFrag,,Proximal,100%,,Cortical,YesComplete,3,10.11,23.47,,,,,,
H18-4071,FlakeFrag,,Distal,61-99%,LeftLateral,,,2,2.83,18.74,,,,,,
H18-4076,Flake,,,0%,,Cortical,YesComplete,2,3,24,17,,,,,
H18-4085,Shatter,,,31-60%,,,,,,,,,,,,
H18-4092,Core,,,31-60%,,,,,21,30.4,33.9,Plain,0%,14,NaturalImperfection,
H18-4104,FlakeFrag,,Distal,1-30%,Distal,,,1,3.22,17.13,,,,,,
H18-4118,Flake,,,1-30%,LeftLateral,Plain,No,4,5.8,15,28,,,,,
H18-4120,FlakeFrag,,Distal,0%,,,,3,7.35,24.97,,,,,,
H18-4180,Flake,,,61-99%,Distal,Plain,No,2,5.96,18.57,16.23,,,,,
H18-4189,Flake,,,0%,,Dihedral,No,12,17.25,39.24,40.15,,,,,
H18-4200,Shatter,,,0%,,,,,,,,,,,,
H18-4205,RetouchedPiece,,,0%,,Removed,,3,4.28,20.17,16.08,,,,,Retouched flake
H18-4207,RetouchedPiece,,,0%,,Plain,No,4,8.95,51.73,67.11,,,,,Endscrapper
H18-4229,Shatter,,,1-30%,,,,,,,,,,,,
H18-4261,RetouchedPiece,,,31-60%,Distal,Crushed,No,5,12.33,26.21,22.23,,,,,Retouched flake
H18-4277,Flake,,,0%,,Dihedral,No,4,5.4,23.3,18.9,,,,,
H18-4288,FlakeFrag,,Distal,1-30%,Mesial,,,4,6.66,16.39,,,,,,
H18-4295,ElongBlank,,,1-30%,LeftLateral,Plain,No,1,4,11,36.5,,,,,
H18-4296,Flake,,,1-30%,LeftLateral,Plain,YesPartial,4,3.15,14.03,24.74,,,,,
H18-4301,FlakeFrag,,Distal,1-30%,Distal,,,3,3.91,19.58,,,,,,
H19-3440,RetouchedPieceFrag,,Other,1-30%,LeftLateral,,,3,7.3,14.08,,,,,,Retouched piece fragment
H19-3939,FlakeFrag,,Proximal,1-30%,RightLateral,Crushed,YesPartial,2,4.98,16.74,,,,,,
H19-3944,CoreFrag,,,0%,,,,4,21.25,,,,,,,
H19-3952,Flake,,,0%,,Cortical,YesComplete,4,5.89,16.25,17.52,,,,,
H19-3989,Flake,,,61-99%,Mesial,Dihedral,YesPartial,3,12.23,27.09,49.84,,,,,
H19-4013,Flake,,,1-30%,RightLateral,Plain,No,2,3.47,18.78,23.59,,,,,
H19-4030,ElongBlankFrag,,Distal,31-60%,LeftLateral,,,1,4.3,11.7,,,,,,
H19-4032,Flake,,,0%,,Plain,No,6,9.4,21.6,40.3,,,,,
H19-4033,RetouchedPiece,,,0%,,Plain,No,4,6.4,17.7,29.4,,,,,Burin
H19-4038,ElongBlank,,,31-60%,RightLateral,Plain,No,2,6.9,11,34,,,,,
H19-4045,FlakeFrag,,Proximal,0%,,Crushed,No,2,4,22.4,,,,,,
H19-4048,RetouchedPiece,,,1-30%,LeftLateral,Plain,No,5,13.52,20.57,32.9,,,,,Splintered piece
H19-4057,Shatter,,,61-99%,,,,,,,,,,,,
H19-4058,FlakeFrag,,Proximal,61-99%,RightLateral,Cortical,YesComplete,2,6.9,24.5,,,,,,
H19-4063,RetouchedPiece,,,0%,,Plain,No,9,9.03,31.51,51.66,,,,,Endscrapper
H19-4071,Core,,,31-60%,,,,,31.6,31.4,21.3,Other,31-60%,3,NaturalImperfection,
H19-4091,Shatter,,,31-60%,,,,,,,,,,,,
H19-4094,Flake,,,0%,,Dihedral,No,3,5.49,19.23,17.71,,,,,
H19-4117,BurinSpall,,,0%,,,,4,4.4,,,,,,,
H19-4120,Shatter,,,1-30%,,,,,,,,,,,,
H19-4193,FlakeFrag,,Siret,0%,,,,1,3.96,12.57,,,,,,
H19-4195,FlakeFrag,,Mesial,0%,,,,3,3.48,20.39,,,,,,
H19-4196,RetouchedPiece,,,0%,,Cortical,YesComplete,7,10.2,23.4,34.8,,,,,Endscrapper
H19-4223,FlakeFrag,,Siret,0%,,,,2,2.88,16.79,,,,,,
H19-4225,Core,,,31-60%,,,,,17.44,26,18.46,Plain,0%,3,Hinge,
H19-4226,RetouchedPiece,,,0%,,Plain,No,2,9.13,34.12,33.88,,,,,Endscrapper
H19-4247,ElongBlank,,,0%,,Crushed,No,3,4.22,8.68,24.03,,,,,
H19-4248,BurinSpall,,,1-30%,LeftLateral,,,2,7.4,,,,,,,
H19-4254,Shatter,,,0%,,,,,,,,,,,,
H19-4265,FlakeFrag,,Proximal,1-30%,Proximal,Cortical,YesComplete,3,6.3,14.9,,,,,,
H19-4274,RetouchedPiece,,,0%,,Removed,,7,8.75,15.94,29.68,,,,,Retouched flake
H19-4277,Flake,,,0%,,Dihedral,No,2,4.2,12.9,22.8,,,,,
H19-4283,Flake,,,0%,,Dihedral,No,3,10.42,36.1,36.49,,,,,
H19-4307,RetouchedPiece,,,0%,,Crushed,No,5,5.1,23.5,26.5,,,,,Splintered piece
H19-4309,Flake,,,1-30%,Distal,Plain,No,6,11.2,18.4,34.2,,,,,
H19-4338,RetouchedPiece,,,0%,,Crushed,No,5,3,12.7,17.3,,,,,Splintered piece
H19-4340,Shatter,,,1-30%,,,,,,,,,,,,
H19-4342,ElongBlankFrag,,Distal,0%,,,,3,5.06,9.52,,,,,,
H19-4346,Flake,,,1-30%,Distal,Plain,No,4,8.45,30.67,31.45,,,,,
H19-4409,CoreFrag,,,1-30%,LeftLateral,,,3,13.82,,,,,,,
H19-4420,FlakeFrag,,Distal,0%,,,,1,4.35,22.1,,,,,,
H20-3955,BurinSpall,,,0%,,,,5,10.02,,,,,,,
H20-3976,FlakeFrag,,Proximal,0%,,Plain,No,5,7.68,30.2,,,,,,
H20-3984,RetouchedPiece,,,0%,,Crushed,No,3,7.74,24.89,23.31,,,,,Splintered piece
H20-3989,Flake,,,31-60%,RightLateral,Crushed,YesPartial,3,6.94,17.95,23.05,,,,,
H20-3990,Flake,,,0%,,Plain,No,3,2.5,16,16,,,,,
H20-4017,RetouchedPiece,,,0%,,Plain,No,2,7.08,10.9,20.29,,,,,Retouched burin spall
H20-4022,CorePreparProd,CoreTablet,,1-30%,Proximal,Cortical,YesComplete,4,4.16,12.66,23.21,,,,,
H20-4024,ElongBlankFrag,,Distal,0%,,,,3,1.53,5.12,,,,,,
H20-4067,FlakeFrag,,Proximal,0%,,Plain,No,3,4.86,22.95,,,,,,
H20-4083,Flake,,,0%,,Plain,No,3,5.3,19.9,20.8,,,,,
H20-4084,RetouchedPiece,,,0%,,Plain,No,5,15.65,9.15,26.18,,,,,Burin
H20-4094,Flake,,,0%,,Crushed,No,3,3.92,22.02,19.1,,,,,
H20-4111,FlakeFrag,,Distal,0%,,,,5,4.3,23.5,,,,,,
H20-4116,Flake,,,0%,,Plain,No,2,3.27,16.25,13.88,,,,,
H20-4118,Flake,,,0%,,Crushed,No,7,9.61,38.41,47.56,,,,,
H20-4120,Shatter,,,0%,,,,,,,,,,,,
H20-4142,RetouchedPiece,,,1-30%,Distal,Faceted,No,5,7.7,23.56,32.55,,,,,Burin
H20-4170,RetouchedPiece,,,0%,,Crushed,No,7,9.5,16.6,36.45,,,,,Burin
H20-4180,Shatter,,,61-99%,,,,,,,,,,,,
H20-4187,RetouchedPiece,,,1-30%,LeftLateral,Crushed,No,4,7.27,12.49,29.92,,,,,Burin
H20-4188,Flake,,,1-30%,Proximal,Cortical,YesComplete,4,6.58,24.1,44.75,,,,,
H20-4209,RetouchedPiece,,,0%,,Dihedral,No,2,7.91,25.17,14.91,,,,,Notch
H20-4213,RetouchedPiece,,,0%,,Crushed,No,4,10.29,21.71,40.28,,,,,Burin
H20-4243,FlakeFrag,,Proximal,0%,,Plain,,3,7,21.67,0,,,,,
H20-4281,ElongBlank,,,0%,,Crushed,No,4,3.13,10.69,23.7,,,,,
H20-4329,ElongBlank,,,0%,,Plain,No,3,5.24,11.82,28.41,,,,,
H20-4331,RetouchedPiece,,,0%,,Removed,,3,5.51,22.83,28.52,,,,,Retouched flake
H20-4336,RetouchedPiece,,,0%,,Plain,No,4,3.87,16.9,25.15,,,,,Retouched burin
H20-4343,FlakeFrag,,Distal,0%,,,,3,9.9,21.8,,,,,,
H20-4359,Shatter,,,61-99%,,,,,,,,,,,,
H20-4384,FlakeFrag,,Distal,0%,,,,1,2.24,15.81,,,,,,
H20-4390,FlakeFrag,,Distal,0%,,,,3,3.62,19.71,,,,,,
H20-4400,RetouchedPiece,,,0%,,Removed,,2,8.28,31.38,28.21,,,,,Endscrapper
H20-4402,FlakeFrag,,Mesial,0%,,,,3,2.8,13.8,,,,,,
H20-4403,Flake,,,0%,,Plain,No,4,10.8,33.4,35.1,,,,,
H20-4405,RetouchedPiece,,,0%,,Removed,,6,5.56,23.43,21.84,,,,,Burin
H20-4418,FlakeFrag,,Distal,0%,,,,3,6.85,44.9,,,,,,
H20-4437,Shatter,,,0%,,,,,,,,,,,,
H21-1819,FlakeFrag,,Siret,0%,,,,2,5,11.92,,,,,,
H21-4408,BurinSpall,,,0%,,,,4,4.73,,,,,,,
H21-4409,Core,,,31-60%,,,,,22.3,25.8,34.5,Cortical,0%,6,AngleLoss,
H21-4420,BurinSpall,,,0%,,,,6,7.3,,,,,,,
H21-4433,Shatter,,,31-60%,,,,,,,,,,,,
H21-4434,BurinSpall,,,0%,,,,3,5.57,,,,,,,
H21-4441,Core,,,1-30%,,,,,32.11,28.93,32.52,Plain,0%,4,NaturalImperfection,
H21-4450,ElongBlank,,,1-30%,LeftLateral,Plain,No,4,2.7,9.8,23.3,,,,,
H21-4532,RetouchedPiece,,,0%,,Crushed,No,11,11,21.7,29.2,,,,,Splintered piece with notch
H21-4536,FlakeFrag,,Distal,61-99%,Distal,,,2,3.8,12.41,,,,,,
H21-4539,Flake,,,0%,,Crushed,No,4,2.38,23.71,22.02,,,,,
H18-3500,RetouchedPiece,,,31-60%,RightLateral,Removed,,1,3.8,13.2,23.3,,,,,Retouched flake
H21-4564,CoreFrag,,,0%,,,,7,14.18,,,,,,,
H21-4631,Shatter,,,31-60%,,,,,,,,,,,,
H21-4634,Core,,,31-60%,,,,,27.8,30.6,38.2,Plain,1-30%,6,Hinge,
H21-4650,ElongBlank,,,0%,,Linear,No,2,2.4,6.9,26.8,,,,,
H21-4655,Core,,,31-60%,,,,,14.28,17.24,24.72,Cortical,0%,5,AngleLoss,
H21-4668,RetouchedPiece,,,0%,,Plain,No,1,29.26,7.78,37.02,,,,,Burin
H21-4696,FlakeFrag,,Siret,0%,,,,1,5.43,15.21,,,,,,
H21-4702,Flake,,,0%,,Plain,No,5,11.3,33.6,54,,,,,
H21-4724,Flake,,,0%,,Cortical,YesComplete,3,4.99,18.86,16.84,,,,,
H21-4727,RetouchedPiece,,,31-60%,LeftLateral,Cortical,YesComplete,2,12.58,19.69,33.67,,,,,Endscrapper
H21-4739,Flake,,,1-30%,Proximal,Plain,No,6,11.6,23.22,16.48,,,,,
H21-4742,RetouchedPiece,,,0%,,Removed,,2,4.65,21.55,27.11,,,,,Retouched flake
H21-4751,FlakeFrag,,Siret,0%,,,,2,7.77,29.07,,,,,,
H21-4774,RetouchedPiece,,,0%,,Plain,No,4,5.77,9.18,20.99,,,,,Burin
H21-4776,Flake,,,1-30%,Distal,Plain,No,4,6.72,23.44,26.22,,,,,
H21-4779,CoreFrag,,,31-60%,Mesial,,,5,14.34,,,,,,,
H21-4788,Flake,,,31-60%,Distal,Dihedral,No,5,6.41,18.61,26.55,,,,,
H21-4790,ElongBlankFrag,,Siret,0%,,,,3,6.79,13.03,,,,,,
H21-4808,Flake,,,0%,,Plain,No,7,7.4,24,36.4,,,,,
H21-4809,Flake,,,0%,,Plain,No,5,4.8,23.5,17.9,,,,,
H21-4811,Core,,,1-30%,,,,,12.1,17.9,31.3,Plain,0%,5,AngleLoss,
H21-4846,FlakeFrag,,Proximal,61-99%,LeftLateral,Plain,No,2,5.44,12.8,,,,,,
I18-3240,Flake,,,0%,,Other,No,4,7.8,16.5,21,,,,,
I18-3276,Shatter,,,1-30%,,,,,,,,,,,,
I18-3279,FlakeFrag,,Proximal,0%,,Plain,No,4,4.35,17.58,,,,,,
I18-3301,RetouchedPiece,,,1-30%,LeftLateral,Plain,No,1,4.2,15.7,38.1,,,,,Denticulate
I18-3312,Flake,,,0%,,Cortical,YesComplete,4,3.1,15.6,15.8,,,,,
I18-3323,Flake,,,0%,,Plain,No,3,2.15,16.02,17.72,,,,,
I18-3327,Shatter,,,0%,,,,,,,,,,,,
I18-3331,Flake,,,0%,,Plain,No,5,9.8,26.6,38.1,,,,,
I18-3335,ElongBlankFrag,,Siret,0%,,,,2,9.45,11.97,,,,,,
I18-3344,Flake,,,1-30%,Distal,Cortical,YesComplete,2,9.8,27.8,23.2,,,,,
I18-3351,FlakeFrag,,Siret,0%,,,,2,4.15,11.11,,,,,,
I18-3364,RetouchedPiece,,,0%,,Plain,No,4,4.9,20.3,23.9,,,,,Notch
I18-3388,FlakeFrag,,Siret,0%,,,,2,10.51,24.28,,,,,,
I18-3400,Flake,,,0%,,Cortical,YesComplete,4,6.07,20.74,24.18,,,,,
I18-3402,Shatter,,,1-30%,,,,,,,,,,,,
I18-3404,RetouchedPieceFrag,,Other,0%,,,,4,21.03,29.42,,,,,,Retouched piece fragment
I18-3410,RetouchedPiece,,,0%,,Removed,,2,4.12,24.15,27.81,,,,,Burin
I18-3448,Flake,,,0%,,Plain,No,4,3.9,12.9,21.4,,,,,
I18-3453,RetouchedPiece,,,0%,,Crushed,No,4,9,9.7,28,,,,,Burin
I18-3457,RetouchedPiece,,,61-99%,RightLateral,Cortical,YesComplete,1,7.46,18.16,36.16,,,,,Retouched flake
I18-3489,Flake,,,0%,,Cortical,YesComplete,3,5.82,23.95,19.74,,,,,
I18-3495,FlakeFrag,,Mesial,0%,,,,3,4.3,15.6,,,,,,
I18-3499,Flake,,,0%,,Crushed,No,7,3.08,14.89,19.17,,,,,
I18-3530,Core,,,0%,,,,,19.4,26.1,42,Crushed,0,6,AngleLoss,
I18-3542,Shatter,,,31-60%,,,,,,,,,,,,
I18-3575,Shatter,,,1-30%,,,,,,,,,,,,
I18-3628,RetouchedPiece,,,0%,,Plain,No,5,5,17.3,16.9,,,,,Retouched flake
I18-3642,ElongBlankFrag,,Proximal,0%,,Plain,No,2,3.64,11.5,,,,,,
I18-3657,FlakeFrag,,Siret,0%,,,,3,5.32,8.57,,,,,,
I18-3663,FlakeFrag,,Siret,0%,,,,2,4.31,23.45,,,,,,
I18-3669,Core,,,1-30%,,,,,17.44,23.2,24.2,Plain,1-30%,4,AngleLoss,
I18-3677,RetouchedPiece,,,0%,,Removed,,3,4,14.2,31.6,,,,,Retouched blade
I18-3687,Shatter,,,61-99%,,,,,,,,,,,,
I18-3692,RetouchedPiece,,,1-30%,Distal,Crushed,No,5,12.7,22.2,24,,,,,Splintered piece
I18-3698,Flake,,,0%,,Plain,No,4,13.2,18.2,30.2,,,,,
I18-3715,Flake,,,0%,,Plain,No,5,3,14.5,24.2,,,,,
I18-3716,Shatter,,,31-60%,,,,,,,,,,,,
I18-3729,FlakeFrag,,Mesial,0%,,,,2,3.03,22.9,,,,,,
I18-3731,Shatter,,,0%,,,,,,,,,,,,
I18-3742,Flake,,,0%,,Plain,No,2,4.3,19.5,21.8,,,,,
I18-3747,RetouchedPiece,,,0%,,Crushed,No,6,7.2,25.5,22.3,,,,,Splintered piece
I18-3752,Flake,,,0%,,Plain,No,2,2.45,19.6,11.03,,,,,
I18-3755,Flake,,,0%,,Plain,No,2,5.4,20.7,22.5,,,,,
I18-3760,ElongBlankFrag,,Distal,0%,,,,2,2.79,10.69,,,,,,
I18-3769,Shatter,,,0%,,,,,,,,,,,,
I18-3773,RetouchedPiece,,,0%,,Crushed,No,2,5.51,18.7,22.58,,,,,Burin
I18-3780,FlakeFrag,,Proximal,1-30%,Proximal,Cortical,YesComplete,4,3.73,16.24,,,,,,
I18-3790,Flake,,,0%,,Plain,No,5,7,24,39.6,,,,,
I18-3823,BurinSpall,,,0%,,,,3,2.4,,,,,,,
I18-3849,Flake,,,1-30%,LeftLateral,Plain,No,4,4.86,17.67,24.41,,,,,
I18-3855,Flake,,,0%,,Plain,No,5,7.1,23,23.7,,,,,
I18-3863,Flake,,,0%,,Winged,No,4,8.1,23.2,30.8,,,,,
I18-3877,FlakeFrag,,Distal,0%,,,,3,3.13,12.84,,,,,,
I18-3879,Shatter,,,0%,,,,,,,,,,,,
I18-3884,ElongBlankFrag,,Mesial,0%,,,,2,2.56,6.08,,,,,,
I18-3897,Shatter,,,1-30%,,,,,,,,,,,,
I18-3898,Shatter,,,31-60%,,,,,,,,,,,,
