Angle,Observed,Calculated,Background,Dolomite_nb,Quartz_nb,Dolomite,Quartz
4.0028,2024,2153.28,2152.49,0.01,0.78,2152.5,2153.27
4.053,2018,2089.58,2088.79,0.01,0.78,2088.8,2089.57
4.1031,2153,2038.38,2037.58,0.01,0.79,2037.59,2038.37
4.1533,2001,1997.27,1996.46,0.01,0.79,1996.47,1997.25
4.2034,1968,1964.28,1963.47,0.01,0.8,1963.48,1964.27
4.2535,1999,1937.72,1936.91,0.01,0.8,1936.92,1937.71
4.3037,2020,1916.22,1915.4,0.01,0.81,1915.41,1916.21
4.3538,1936,1898.62,1897.8,0.01,0.81,1897.81,1898.61
4.4039,1892,1883.97,1883.15,0.01,0.82,1883.16,1883.97
4.4541,1907,1871.51,1870.67,0.01,0.82,1870.68,1871.49
4.5042,1932,1860.58,1859.74,0.01,0.83,1859.75,1860.57
4.5544,1778,1850.68,1849.84,0.01,0.83,1849.85,1850.67
4.6045,1822,1841.4,1840.56,0.01,0.84,1840.57,1841.4
4.6546,1859,1832.42,1831.57,0.01,0.84,1831.58,1832.41
4.7048,1840,1823.49,1822.64,0.01,0.85,1822.65,1823.49
4.7549,1923,1814.42,1813.56,0.01,0.85,1813.57,1814.41
4.805,1790,1805.07,1804.21,0.01,0.86,1804.22,1805.07
4.8552,1758,1795.35,1794.47,0.01,0.86,1794.48,1795.33
4.9053,1733,1785.18,1784.3,0.01,0.87,1784.31,1785.17
4.9554,1755,1774.53,1773.64,0.01,0.87,1773.65,1774.51
5.0056,1744,1763.38,1762.49,0.01,0.88,1762.5,1763.37
5.0557,1678,1751.75,1750.85,0.01,0.88,1750.86,1751.73
5.1059,1764,1739.64,1738.74,0.01,0.89,1738.75,1739.63
5.156,1710,1727.09,1726.18,0.01,0.89,1726.19,1727.07
5.2061,1720,1714.12,1713.21,0.01,0.9,1713.22,1714.11
5.2563,1676,1700.78,1699.87,0.01,0.9,1699.88,1700.77
5.3064,1646,1687.12,1686.2,0.01,0.91,1686.21,1687.11
5.3565,1562,1673.18,1672.26,0.01,0.91,1672.27,1673.17
5.4067,1564,1659.02,1658.09,0.01,0.92,1658.1,1659.01
5.4568,1578,1644.67,1643.73,0.01,0.92,1643.74,1644.65
5.507,1587,1630.18,1629.24,0.01,0.93,1629.25,1630.17
5.5571,1630,1615.61,1614.67,0.01,0.93,1614.68,1615.6
5.6072,1565,1601,1600.05,0.01,0.94,1600.06,1600.99
5.6574,1557,1586.38,1585.43,0.01,0.95,1585.44,1586.38
5.7075,1589,1571.81,1570.85,0.01,0.95,1570.86,1571.8
5.7576,1553,1557.31,1556.34,0.01,0.96,1556.35,1557.3
5.8078,1569,1542.92,1541.95,0.01,0.96,1541.96,1542.91
5.8579,1440,1528.67,1527.69,0.01,0.97,1527.7,1528.66
5.9081,1552,1514.59,1513.61,0.01,0.97,1513.62,1514.58
5.9582,1509,1500.71,1499.72,0.01,0.98,1499.73,1500.7
6.0083,1486,1487.04,1486.04,0.01,0.98,1486.05,1487.02
6.0585,1519,1473.61,1472.61,0.01,0.99,1472.62,1473.6
6.1086,1470,1460.43,1459.43,0.01,0.99,1459.44,1460.42
6.1587,1512,1447.53,1446.52,0.01,1,1446.53,1447.52
6.2089,1420,1434.9,1433.89,0.01,1.01,1433.9,1434.9
6.259,1497,1422.57,1421.55,0.01,1.01,1421.56,1422.56
6.3092,1432,1410.54,1409.51,0.01,1.02,1409.52,1410.53
6.3593,1449,1398.82,1397.78,0.01,1.02,1397.79,1398.8
6.4094,1474,1387.41,1386.36,0.01,1.03,1386.37,1387.39
6.4596,1417,1376.31,1375.26,0.01,1.03,1375.27,1376.29
6.5097,1393,1365.52,1364.47,0.01,1.04,1364.48,1365.51
6.5598,1429,1355.05,1353.99,0.01,1.05,1354,1355.04
6.61,1413,1344.9,1343.83,0.01,1.05,1343.84,1344.88
6.6601,1372,1335.05,1333.98,0.01,1.06,1333.99,1335.04
6.7102,1401,1325.51,1324.43,0.01,1.06,1324.44,1325.49
6.7604,1366,1316.27,1315.19,0.01,1.07,1315.2,1316.26
6.8105,1322,1307.33,1306.24,0.01,1.08,1306.25,1307.32
6.8607,1307,1298.68,1297.58,0.01,1.08,1297.59,1298.66
6.9108,1338,1290.31,1289.2,0.01,1.09,1289.21,1290.29
6.9609,1321,1282.21,1281.1,0.01,1.1,1281.11,1282.2
7.0111,1224,1274.38,1273.27,0.01,1.1,1273.28,1274.37
7.0612,1256,1266.81,1265.69,0.01,1.11,1265.7,1266.8
7.1113,1248,1259.49,1258.37,0.01,1.11,1258.38,1259.48
7.1615,1271,1252.42,1251.28,0.01,1.12,1251.29,1252.4
7.2116,1278,1245.57,1244.43,0.01,1.13,1244.44,1245.56
7.2618,1185,1238.95,1237.8,0.01,1.13,1237.81,1238.93
7.3119,1225,1232.53,1231.38,0.01,1.14,1231.39,1232.52
7.362,1274,1226.33,1225.17,0.01,1.15,1225.18,1226.32
7.4122,1219,1220.31,1219.14,0.01,1.15,1219.15,1220.29
7.4623,1231,1214.48,1213.31,0.01,1.16,1213.32,1214.47
7.5124,1173,1208.83,1207.65,0.01,1.17,1207.66,1208.82
7.5626,1158,1203.34,1202.15,0.01,1.17,1202.16,1203.32
7.6127,1188,1198,1196.81,0.01,1.18,1196.82,1197.99
7.6629,1206,1192.82,1191.62,0.01,1.19,1191.63,1192.81
7.713,1209,1187.77,1186.56,0.01,1.2,1186.57,1187.76
7.7631,1158,1182.86,1181.64,0.01,1.2,1181.65,1182.84
7.8133,1216,1178.06,1176.84,0.01,1.21,1176.85,1178.05
7.8634,1214,1173.38,1172.15,0.01,1.22,1172.16,1173.37
7.9135,1207,1168.8,1167.57,0.01,1.22,1167.58,1168.79
7.9637,1107,1164.32,1163.08,0.01,1.23,1163.09,1164.31
8.0138,1150,1159.94,1158.68,0.01,1.24,1158.69,1159.92
8.064,1128,1155.63,1154.37,0.01,1.25,1154.38,1155.62
8.1141,1100,1151.4,1150.13,0.01,1.25,1150.14,1151.38
8.1642,1062,1147.24,1145.97,0.01,1.26,1145.98,1147.23
8.2144,1198,1143.14,1141.86,0.01,1.27,1141.87,1143.13
8.2645,1115,1139.1,1137.81,0.01,1.27,1137.82,1139.08
8.3146,1107,1135.11,1133.82,0.01,1.28,1133.83,1135.1
8.3648,1107,1131.17,1129.86,0.01,1.29,1129.87,1131.15
8.4149,1114,1127.26,1125.95,0.01,1.3,1125.96,1127.25
8.465,1071,1123.39,1122.08,0.01,1.3,1122.09,1123.38
8.5152,1081,1119.55,1118.23,0.01,1.31,1118.24,1119.54
8.5653,1083,1115.74,1114.41,0.01,1.32,1114.42,1115.73
8.6155,1120,1111.95,1110.61,0.01,1.33,1110.62,1111.94
8.6656,1073,1108.17,1106.82,0.01,1.33,1106.83,1108.15
8.7157,1068,1104.41,1103.06,0.01,1.34,1103.07,1104.4
8.7659,1126,1100.66,1099.3,0.01,1.35,1099.31,1100.65
8.816,1078,1096.92,1095.55,0.01,1.36,1095.56,1096.91
8.8661,1105,1093.18,1091.8,0.01,1.37,1091.81,1093.17
8.9163,1110,1089.44,1088.05,0.01,1.37,1088.06,1089.42
8.9664,1108,1085.7,1084.3,0.01,1.38,1084.31,1085.68
9.0166,1077,1081.96,1080.55,0.01,1.39,1080.56,1081.94
9.0667,1062,1078.21,1076.79,0.01,1.4,1076.8,1078.19
9.1168,1045,1074.45,1073.03,0.01,1.41,1073.04,1074.44
9.167,1061,1070.68,1069.25,0.01,1.42,1069.26,1070.67
9.2171,1097,1066.9,1065.46,0.01,1.42,1065.47,1066.88
9.2672,1072,1063.11,1061.66,0.01,1.43,1061.67,1063.09
9.3174,984,1059.31,1057.85,0.01,1.44,1057.86,1059.29
9.3675,1039,1055.49,1054.02,0.01,1.45,1054.03,1055.47
9.4177,1009,1051.65,1050.17,0.01,1.46,1050.18,1051.63
9.4678,978,1047.8,1046.31,0.01,1.47,1046.32,1047.78
9.5179,1041,1043.92,1042.43,0.02,1.48,1042.45,1043.91
9.5681,987,1040.04,1038.53,0.02,1.49,1038.55,1040.02
9.6182,1043,1036.13,1034.62,0.02,1.5,1034.64,1036.12
9.6683,1026,1032.2,1030.68,0.02,1.51,1030.7,1032.19
9.7185,1030,1028.26,1026.73,0.02,1.51,1026.75,1028.24
9.7686,991,1024.29,1022.75,0.02,1.52,1022.77,1024.27
9.8188,1000,1020.31,1018.76,0.02,1.53,1018.78,1020.29
9.8689,999,1016.31,1014.75,0.02,1.54,1014.77,1016.29
9.919,997,1012.29,1010.72,0.02,1.55,1010.74,1012.27
9.9692,1012,1008.25,1006.67,0.02,1.56,1006.69,1008.23
10.0193,1033,1004.2,1002.61,0.02,1.57,1002.63,1004.18
10.0694,958,1000.13,998.53,0.02,1.58,998.55,1000.11
10.1196,984,996.04,994.43,0.02,1.59,994.45,996.02
10.1697,948,991.93,990.31,0.02,1.6,990.33,991.91
10.2198,984,987.81,986.18,0.02,1.61,986.2,987.79
10.27,996,983.68,982.04,0.02,1.63,982.06,983.67
10.3201,1066,979.53,977.88,0.02,1.64,977.9,979.52
10.3703,951,975.37,973.71,0.02,1.65,973.73,975.36
10.4204,1011,971.2,969.53,0.02,1.66,969.55,971.19
10.4705,958,967.02,965.34,0.02,1.67,965.36,967.01
10.5207,964,962.83,961.13,0.02,1.68,961.15,962.81
10.5708,963,958.63,956.92,0.02,1.69,956.94,958.61
10.6209,1012,954.42,952.7,0.02,1.7,952.72,954.4
10.6711,934,950.2,948.47,0.02,1.71,948.49,950.18
10.7212,943,945.98,944.24,0.02,1.73,944.26,945.97
10.7714,931,941.76,940,0.02,1.74,940.02,941.74
10.8215,973,937.53,935.76,0.02,1.75,935.78,937.51
10.8716,892,933.3,931.52,0.02,1.76,931.54,933.28
10.9218,958,929.07,927.27,0.02,1.77,927.29,929.04
10.9719,920,924.83,923.03,0.02,1.79,923.05,924.82
11.022,923,920.6,918.79,0.02,1.8,918.81,920.59
11.0722,942,916.38,914.55,0.02,1.81,914.57,916.36
11.1223,883,912.15,910.31,0.02,1.82,910.33,912.13
11.1725,915,907.93,906.08,0.02,1.84,906.1,907.92
11.2226,945,903.72,901.85,0.02,1.85,901.87,903.7
11.2727,894,899.51,897.63,0.02,1.86,897.65,899.49
11.3229,849,895.32,893.42,0.02,1.88,893.44,895.3
11.373,970,891.13,889.22,0.02,1.89,889.24,891.11
11.4231,868,886.95,885.03,0.02,1.9,885.05,886.93
11.4733,936,882.78,880.85,0.02,1.92,880.87,882.77
11.5234,895,878.63,876.68,0.02,1.93,876.7,878.61
11.5736,894,874.49,872.53,0.02,1.95,872.55,874.48
11.6237,898,870.37,868.39,0.02,1.96,868.41,870.35
11.6738,884,866.26,864.27,0.02,1.98,864.29,866.25
11.724,880,862.17,860.17,0.02,1.99,860.19,862.16
11.7741,882,858.1,856.08,0.02,2.01,856.1,858.09
11.8242,862,854.05,852.01,0.02,2.02,852.03,854.03
11.8744,830,850.02,847.97,0.02,2.04,847.99,850.01
11.9245,828,846.01,843.94,0.02,2.05,843.96,845.99
11.9746,900,842.02,839.94,0.02,2.07,839.96,842.01
12.0248,890,838.06,835.96,0.02,2.08,835.98,838.04
12.0749,867,834.12,832,0.02,2.1,832.02,834.1
12.1251,832,830.21,828.07,0.02,2.11,828.09,830.18
12.1752,892,826.32,824.17,0.02,2.13,824.19,826.3
12.2253,815,822.46,820.29,0.02,2.15,820.31,822.44
12.2755,807,818.62,816.44,0.02,2.17,816.46,818.61
12.3256,857,814.82,812.62,0.02,2.18,812.64,814.8
12.3757,793,811.05,808.83,0.02,2.2,808.85,811.03
12.4259,844,807.3,805.06,0.02,2.22,805.08,807.28
12.476,801,803.59,801.33,0.02,2.24,801.35,803.57
12.5262,837,799.9,797.63,0.02,2.25,797.65,799.88
12.5763,812,796.26,793.96,0.02,2.27,793.98,796.23
12.6264,868,792.64,790.33,0.02,2.29,790.35,792.62
12.6766,788,789.06,786.73,0.02,2.31,786.75,789.04
12.7267,807,785.51,783.16,0.02,2.33,783.18,785.49
12.7768,777,781.99,779.63,0.02,2.35,779.65,781.98
12.827,812,778.52,776.13,0.02,2.37,776.15,778.5
12.8771,776,775.07,772.67,0.02,2.39,772.69,775.06
12.9273,784,771.67,769.24,0.02,2.41,769.26,771.65
12.9774,815,768.3,765.85,0.02,2.43,765.87,768.28
13.0275,768,764.97,762.5,0.02,2.45,762.52,764.95
13.0777,744,761.68,759.18,0.02,2.47,759.2,761.65
13.1278,777,758.42,755.91,0.02,2.49,755.93,758.4
13.1779,751,755.21,752.67,0.02,2.51,752.69,755.18
13.2281,742,752.03,749.47,0.02,2.53,749.49,752
13.2782,806,748.89,746.31,0.02,2.56,746.33,748.87
13.3284,764,745.8,743.19,0.02,2.58,743.21,745.77
13.3785,729,742.74,740.11,0.02,2.6,740.13,742.71
13.4286,801,739.72,737.07,0.02,2.63,737.09,739.7
13.4788,733,736.75,734.07,0.02,2.65,734.09,736.72
13.5289,742,733.81,731.12,0.02,2.67,731.14,733.79
13.579,732,730.92,728.2,0.02,2.7,728.22,730.9
13.6292,686,728.07,725.32,0.02,2.72,725.34,728.04
13.6793,744,725.26,722.49,0.02,2.75,722.51,725.24
13.7294,664,722.49,719.69,0.02,2.77,719.71,722.46
13.7796,730,719.76,716.94,0.02,2.8,716.96,719.74
13.8297,705,717.08,714.23,0.02,2.83,714.25,717.06
13.8799,742,714.43,711.56,0.02,2.85,711.58,714.41
13.93,708,711.83,708.93,0.02,2.88,708.95,711.81
13.9801,740,709.28,706.34,0.02,2.91,706.36,709.25
14.0303,710,706.76,703.8,0.02,2.94,703.82,706.74
14.0804,704,704.29,701.3,0.02,2.97,701.32,704.27
14.1305,715,701.86,698.84,0.02,3,698.86,701.84
14.1807,708,699.47,696.42,0.02,3.02,696.44,699.44
14.2308,645,697.12,694.04,0.02,3.06,694.06,697.1
14.281,707,694.82,691.71,0.02,3.09,691.73,694.8
14.3311,689,692.56,689.42,0.03,3.12,689.45,692.54
14.3812,663,690.34,687.17,0.03,3.15,687.2,690.32
14.4314,709,688.16,684.96,0.03,3.18,684.99,688.14
14.4815,678,686.03,682.79,0.03,3.21,682.82,686
14.5316,684,683.93,680.66,0.03,3.25,680.69,683.91
14.5818,715,681.88,678.57,0.03,3.28,678.6,681.85
14.6319,710,679.87,676.53,0.03,3.32,676.56,679.85
14.6821,649,677.91,674.53,0.03,3.35,674.56,677.88
14.7322,685,675.98,672.56,0.03,3.39,672.59,675.95
14.7823,716,674.09,670.64,0.03,3.43,670.67,674.07
14.8325,667,672.25,668.76,0.03,3.46,668.79,672.22
14.8826,657,670.44,666.92,0.03,3.5,666.95,670.42
14.9327,675,668.68,665.11,0.03,3.54,665.14,668.65
14.9829,705,666.96,663.35,0.03,3.58,663.38,666.93
15.033,645,665.28,661.63,0.03,3.62,661.66,665.25
15.0832,651,663.63,659.94,0.03,3.66,659.97,663.6
15.1333,688,662.03,658.3,0.03,3.7,658.33,662
15.1834,660,660.47,656.69,0.03,3.75,656.72,660.44
15.2336,708,658.94,655.12,0.03,3.79,655.15,658.91
15.2837,689,657.45,653.59,0.03,3.84,653.62,657.43
15.3338,663,656.01,652.1,0.03,3.88,652.13,655.98
15.384,627,654.6,650.64,0.03,3.93,650.67,654.57
15.4341,593,653.23,649.22,0.03,3.98,649.25,653.2
15.4842,641,651.89,647.84,0.03,4.02,647.87,651.86
15.5344,639,650.6,646.49,0.03,4.07,646.52,650.56
15.5845,618,649.34,645.18,0.03,4.12,645.21,649.3
15.6347,631,648.12,643.91,0.03,4.18,643.94,648.09
15.6848,654,646.93,642.67,0.03,4.23,642.7,646.9
15.7349,612,645.78,641.46,0.04,4.28,641.5,645.74
15.7851,630,644.67,640.29,0.04,4.34,640.33,644.63
15.8352,624,643.59,639.16,0.04,4.4,639.2,643.56
15.8853,673,642.55,638.06,0.04,4.46,638.1,642.52
15.9355,636,641.54,636.99,0.04,4.52,637.03,641.51
15.9856,660,640.57,635.95,0.04,4.58,635.99,640.53
16.0358,603,639.63,634.95,0.05,4.64,635,639.59
16.0859,572,638.73,633.98,0.05,4.7,634.03,638.68
16.136,595,637.86,633.04,0.05,4.77,633.09,637.81
16.1862,629,637.03,632.13,0.06,4.84,632.19,636.97
16.2363,642,636.23,631.25,0.07,4.91,631.32,636.16
16.2864,597,635.47,630.41,0.08,4.98,630.49,635.39
16.3366,623,634.74,629.59,0.1,5.05,629.69,634.64
16.3867,638,634.07,628.8,0.13,5.13,628.93,633.93
16.4369,579,633.45,628.05,0.2,5.2,628.25,633.25
16.487,670,632.92,627.32,0.32,5.28,627.64,632.6
16.5371,597,632.54,626.62,0.56,5.36,627.18,631.98
16.5873,619,632.19,625.95,0.8,5.45,626.75,631.4
16.6374,576,631.54,625.3,0.71,5.54,626.01,630.84
16.6875,607,630.73,624.69,0.42,5.62,625.11,630.31
16.7377,670,630.05,624.1,0.24,5.72,624.34,629.82
16.7878,638,629.5,623.53,0.16,5.81,623.69,629.34
16.838,643,629.01,622.99,0.11,5.91,623.1,628.9
16.8881,583,628.58,622.48,0.09,6.01,622.57,628.49
16.9382,608,628.18,621.99,0.07,6.11,622.06,628.1
16.9884,677,627.81,621.53,0.07,6.22,621.6,627.75
17.0385,604,627.48,621.09,0.06,6.33,621.15,627.42
17.0886,613,627.17,620.67,0.05,6.44,620.72,627.11
17.1388,584,626.89,620.28,0.05,6.56,620.33,626.84
17.1889,599,626.64,619.91,0.05,6.68,619.96,626.59
17.239,617,626.42,619.56,0.05,6.81,619.61,626.37
17.2892,653,626.22,619.24,0.05,6.94,619.29,626.18
17.3393,582,626.05,618.93,0.05,7.07,618.98,626
17.3895,585,625.91,618.65,0.04,7.21,618.69,625.86
17.4396,607,625.79,618.39,0.04,7.36,618.43,625.75
17.4897,630,625.7,618.15,0.04,7.51,618.19,625.66
17.5399,591,625.64,617.92,0.04,7.67,617.96,625.59
17.59,602,625.59,617.72,0.04,7.83,617.76,625.55
17.6401,599,625.58,617.54,0.04,8,617.58,625.54
17.6903,629,625.59,617.37,0.04,8.18,617.41,625.55
17.7404,595,625.63,617.22,0.04,8.36,617.26,625.58
17.7906,576,625.69,617.09,0.04,8.56,617.13,625.65
17.8407,597,625.78,616.98,0.04,8.76,617.02,625.74
17.8908,573,625.89,616.88,0.04,8.97,616.92,625.85
17.941,598,626.04,616.8,0.04,9.19,616.84,625.99
17.9911,588,626.2,616.74,0.04,9.42,616.78,626.16
18.0412,584,626.4,616.69,0.04,9.66,616.73,626.35
18.0914,585,626.62,616.66,0.04,9.91,616.7,626.57
18.1415,570,626.86,616.64,0.04,10.18,616.68,626.82
18.1917,612,627.14,616.64,0.05,10.46,616.69,627.1
18.2418,603,627.44,616.65,0.05,10.75,616.7,627.4
18.2919,581,627.78,616.67,0.05,11.06,616.72,627.73
18.3421,620,628.14,616.71,0.05,11.39,616.76,628.1
18.3922,668,628.54,616.76,0.05,11.73,616.81,628.49
18.4423,635,628.97,616.82,0.05,12.1,616.87,628.92
18.4925,612,629.43,616.89,0.05,12.49,616.94,629.38
18.5426,532,629.93,616.98,0.05,12.9,617.03,629.88
18.5928,602,630.47,617.08,0.05,13.34,617.13,630.42
18.6429,628,631.13,617.18,0.05,13.9,617.23,631.08
18.693,563,632.64,617.3,0.05,15.29,617.35,632.59
18.7432,590,636.82,617.43,0.05,19.34,617.48,636.77
18.7933,633,647.34,617.57,0.05,29.72,617.62,647.29
18.8434,656,655.47,617.72,0.05,37.7,617.77,655.42
18.8936,742,647.44,617.87,0.05,29.52,617.92,647.39
18.9437,686,642.01,618.04,0.05,23.92,618.09,641.96
18.9938,638,640.05,618.21,0.05,21.79,618.26,640
19.044,662,639.55,618.4,0.05,21.1,618.45,639.5
19.0941,636,639.72,618.58,0.05,21.08,618.63,639.66
19.1443,667,640.26,618.78,0.05,21.43,618.83,640.21
19.1944,736,641.06,618.99,0.06,22.02,619.05,641.01
19.2445,674,642.06,619.2,0.06,22.8,619.26,642
19.2947,705,643.22,619.41,0.06,23.75,619.47,643.16
19.3448,719,644.54,619.64,0.06,24.85,619.7,644.49
19.3949,684,646.02,619.87,0.06,26.1,619.93,645.97
19.4451,700,647.66,620.1,0.06,27.5,620.16,647.6
19.4952,758,649.49,620.34,0.06,29.09,620.4,649.43
19.5454,728,651.53,620.58,0.06,30.88,620.64,651.46
19.5955,762,653.79,620.83,0.06,32.9,620.89,653.73
19.6456,752,656.32,621.08,0.06,35.18,621.14,656.26
19.6958,757,659.16,621.34,0.06,37.75,621.4,659.09
19.7459,761,662.35,621.6,0.07,40.68,621.67,662.28
19.796,794,665.97,621.87,0.07,44.03,621.94,665.9
19.8462,805,670.1,622.13,0.08,47.88,622.21,670.01
19.8963,854,674.84,622.4,0.1,52.34,622.5,674.74
19.9465,860,680.3,622.67,0.09,57.54,622.76,680.21
19.9966,870,686.68,622.95,0.08,63.65,623.03,686.6
20.0467,890,694.22,623.22,0.08,70.91,623.3,694.13
20.0969,930,703.11,623.5,0.08,79.53,623.58,703.03
20.147,894,713.95,623.78,0.08,90.09,623.86,713.87
20.1971,942,727.24,624.06,0.08,103.1,624.14,727.16
20.2473,968,743.8,624.34,0.08,119.38,624.42,743.72
20.2974,900,764.84,624.63,0.08,140.13,624.71,764.76
20.3476,967,792.17,624.91,0.09,167.17,625,792.08
20.3977,968,828.61,625.19,0.09,203.34,625.28,828.53
20.4478,1035,878.81,625.47,0.09,253.25,625.56,878.72
20.498,1095,950.74,625.76,0.09,324.89,625.85,950.65
20.5481,1259,1059.06,626.04,0.09,432.93,626.13,1058.97
20.5982,1458,1233.02,626.32,0.1,606.6,626.42,1232.92
20.6484,1871,1536.36,626.6,0.1,909.66,626.7,1536.26
20.6985,2594,2120.25,626.88,0.1,1493.27,626.98,2120.15
20.7486,4037,3351.21,627.16,0.11,2723.94,627.27,3351.1
20.7988,6593,5930.29,627.43,0.11,5302.74,627.54,5930.17
20.8489,9727,9281.55,627.71,0.12,8653.73,627.83,9281.44
20.8991,8797,8510.27,627.98,0.12,7882.17,628.1,8510.15
20.9492,5241,5184.98,628.25,0.13,4556.6,628.38,5184.85
20.9993,2914,2885.31,628.52,0.14,2256.66,628.66,2885.18
21.0495,1851,1882.41,628.79,0.14,1253.48,628.93,1882.27
21.0996,1461,1416.05,629.05,0.15,786.85,629.2,1415.9
21.1497,1333,1168.47,629.31,0.16,539,629.47,1168.31
21.1999,1104,1022.62,629.57,0.17,392.88,629.74,1022.45
21.25,1072,929.84,629.82,0.19,299.83,630.01,929.65
21.3002,952,867.33,630.07,0.21,237.05,630.28,867.12
21.3503,942,823.29,630.32,0.23,192.75,630.55,823.07
21.4004,903,791.16,630.56,0.25,160.35,630.81,790.91
21.4506,923,767.05,630.8,0.28,135.97,631.08,766.77
21.5007,815,748.67,631.03,0.32,117.32,631.35,748.35
21.5508,777,734.16,631.26,0.38,102.52,631.64,733.78
21.601,766,722.65,631.49,0.45,90.7,631.94,722.19
21.6511,784,713.4,631.71,0.57,81.12,632.28,712.83
